DEPTH,DEPT,CALI,COND,DENS,GR,NPHI,RES,SONIC,One-way time,Input interval velocity,Output interval velocity,Drift,RC,AI,Resampled AI,Input interval velocity,Output interval velocity,Calibrated sonic log,Residual drift log
1007.5,1007.5,-999.25,236.3822022,1.89260006,28.09370041,0.537000001,-999.25,133.9999469,-33.08099365,2398277,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.35102844
1008,1008,16,255.8876038,1.839699984,28.09370041,0.547800005,-999.25,134.3583425,-33.0759964,2398508,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.36059189
1008.5,1008.5,-999.25,249.9933014,1.820500016,29.5468998,0.532100022,-999.25,134.7167381,-33.07099533,2398739.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.37015533
1009,1009,14.14840031,248.0794067,1.846600056,31.5781002,0.502300024,-999.25,135.0751337,-33.06599426,2398970.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.37971878
1009.5,1009.5,13.8125,251.0446014,1.905799985,30.59370041,0.499300003,-999.25,135.4335293,-33.06099319,2399201.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.38928223
1010,1010,12.71090031,256.2146912,1.985000014,29.2031002,0.483500004,3.903000116,135.7919249,-33.05599594,2399432.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.39884567
1010.5,1010.5,13.41409969,264.809906,2.036200047,27.4843998,0.530600011,3.776299954,136.1503206,-33.05099487,2399663.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.40841103
1011,1011,14.4453001,265.8370972,2.0473001,27.3593998,0.51910001,3.761699915,136.5087162,-33.0459938,2399894.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.41797447
1011.5,1011.5,15.27340031,283.7193909,1.807999969,28.9375,0.513999999,3.524600029,136.8671118,-33.04099655,2400126,2291421.5,0,-999.25,6.90E+15,-999.25,2291421.5,100000,3.047999859,-18.42753792
1012,1012,15.5,306.4577026,1.843000054,28.8125,0.445800006,3.263099909,147,-33.03599548,2400357,2291421.5,0,-999.25,3821.404053,-999.25,2291421.5,100000,3.047999859,-18.43710136
1012.5,1012.5,15.9218998,313.2267151,1.808899999,27.9375,0.494800001,3.192600012,142.0108307,-33.03099442,2400588,2291421.5,0,-999.25,6.92E+15,-999.25,2291421.5,100000,3.047999859,-18.44666481
1013,1013,-999.25,318.4690857,1.853099942,26.2031002,0.531099975,3.140000105,142.9534244,-33.02599335,2400819.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.45622826
1013.5,1013.5,-999.25,316.8905029,1.857499957,24.1718998,0.571699977,3.155699968,143.896018,-33.02099609,2401050.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.4657917
1014,1014,-999.25,307.6307068,1.803200007,24.8281002,0.515799999,3.250699997,144.8386116,-33.01599503,2401281.5,2291421.5,0,-999.25,6.81E+15,-999.25,2291421.5,100000,3.047999859,-18.47535515
1014.5,1014.5,-999.25,304.9526062,1.833099961,21.6875,0.483999997,3.279200077,130.8000031,-33.01099396,2401512.5,2291421.5,0,-999.25,4271.627441,-999.25,2291421.5,100000,3.047999859,-18.48491859
1015,1015,-999.25,296.743988,1.853999972,21.8281002,0.46360001,3.369899988,142.6183698,-33.00599289,2401743.75,2291421.5,0,-999.25,7.83E+15,-999.25,2291421.5,100000,3.047999859,-18.49448204
1015.5,1015.5,-999.25,278.5393066,1.849499941,23.1875,0.496300012,3.590199947,143.192241,-33.00099182,2401974.75,2291421.5,0,-999.25,7.73E+15,-999.25,2291421.5,100000,3.047999859,-18.50404549
